Month,Year,Return,,,,,
8,1928,0.0776,,,,,
9,1928,0.0153,,,,,
10,1928,0.0236,,,,,
11,1928,0.1231,,,,,
12,1928,0.0117,,,,,
1,1929,0.0599,,,,,
2,1929,-0.0031,,,,,
3,1929,0.0062,,,,,
4,1929,0.0248,,,,,
5,1929,-0.0458,,,,,
6,1929,0.1089,,,,,
7,1929,0.0362,,,,,
8,1929,0.1007,,,,,
9,1929,-0.0466,,,,,
10,1929,-0.1971,,,,,
11,1929,-0.1306,,,,,
12,1929,0.0350,,,,,
1,1930,0.0727,,,,,
2,1930,0.0310,,,,,
3,1930,0.0894,,,,,
4,1930,-0.0124,,,,,
5,1930,-0.0071,,,,,
6,1930,-0.1565,,,,,
7,1930,0.0527,,,,,
8,1930,0.0175,,,,,
9,1930,-0.1324,,,,,
10,1930,-0.0794,,,,,
11,1930,-0.0111,,,,,
12,1930,-0.0528,,,,,
1,1931,0.0672,,,,,
2,1931,0.1331,,,,,
3,1931,-0.0598,,,,,
4,1931,-0.0861,,,,,
5,1931,-0.1214,,,,,
6,1931,0.1598,,,,,
7,1931,-0.0706,,,,,
8,1931,0.0148,,,,,
9,1931,-0.2916,,,,,
10,1931,0.0981,,,,,
11,1931,-0.0807,,,,,
12,1931,-0.1330,,,,,
1,1932,-0.0027,,,,,
2,1932,0.0746,,,,,
3,1932,-0.1069,,,,,
4,1932,-0.1918,,,,,
5,1932,-0.2161,,,,,
6,1932,0.0069,,,,,
7,1932,0.3851,,,,,
8,1932,0.3928,,,,,
9,1932,-0.0248,,,,,
10,1932,-0.1297,,,,,
11,1932,-0.0461,,,,,
12,1932,0.0652,,,,,
1,1933,0.0278,,,,,
2,1933,-0.1681,,,,,
3,1933,0.0468,,,,,
4,1933,0.4289,,,,,
5,1933,0.1646,,,,,
6,1933,0.1260,,,,,
7,1933,-0.1144,,,,,
8,1933,0.1097,,,,,
9,1933,-0.1112,,,,,
10,1933,-0.0871,,,,,
11,1933,0.1072,,,,,
12,1933,0.0248,,,,,
1,1934,0.1092,,,,,
2,1934,-0.0418,,,,,
3,1934,0.0029,,,,,
4,1934,-0.0242,,,,,
5,1934,-0.0790,,,,,
6,1934,0.0165,,,,,
7,1934,-0.1127,,,,,
8,1934,0.0573,,,,,
9,1934,-0.0153,,,,,
10,1934,-0.0227,,,,,
11,1934,0.0881,,,,,
12,1934,0.0056,,,,,
1,1935,-0.0519,,,,,
2,1935,-0.0437,,,,,
